SOUID,    DATE,   CC, Q_CC
105608,19840604,    7,    0
105608,19840605,    8,    0
105608,19840606,    8,    0
105608,19840607,    3,    0
105608,19840608,    2,    0
105608,19840609,    2,    0
105608,19840610,    6,    0
105608,19840611,    7,    0
105608,19840612,    7,    0
105608,19840613,    8,    0
105608,19840614,    5,    0
105608,19840615,    5,    0
105608,19840616,    6,    0
105608,19840617,    6,    0
105608,19840618,    6,    0
105608,19840619,    6,    0
105608,19840620,    6,    0
105608,19840621,    6,    0
105608,19840622,    6,    0
105608,19840623,    6,    0
105608,19840624,    6,    0
105608,19840625,    5,    0
105608,19840626,    7,    0
105608,19840627,    6,    0
105608,19840628,    5,    0
105608,19840629,    5,    0
105608,19840630,    6,    0
105608,19840701,    4,    0
105608,19840702,    6,    0
105608,19840703,    4,    0
105608,19840704,    2,    0
105608,19840705,    2,    0
105608,19840706,    5,    0
105608,19840707,    4,    0
105608,19840708,    4,    0
105608,19840709,    7,    0
105608,19840710,    7,    0
105608,19840711,    7,    0
105608,19840712,    7,    0
105608,19840713,    7,    0
105608,19840714,    6,    0
105608,19840715,    5,    0
105608,19840716,    4,    0
105608,19840717,    7,    0
105608,19840718,    6,    0
105608,19840719,    5,    0
105608,19840720,    4,    0
105608,19840721,    6,    0
105608,19840722,    6,    0
105608,19840723,    5,    0
105608,19840724,    4,    0
105608,19840725,    4,    0
105608,19840726,    6,    0
105608,19840727,    8,    0
105608,19840728,    8,    0
105608,19840729,    6,    0
105608,19840730,    6,    0
105608,19840731,    6,    0
105608,19840801,    6,    0
105608,19840802,    8,    0
105608,19840803,    8,    0
105608,19840804,    7,    0
105608,19840805,    5,    0
105608,19840806,    7,    0
105608,19840807,    6,    0
105608,19840808,    6,    0
105608,19840809,    6,    0
105608,19840810,    1,    0
105608,19840811,    2,    0
105608,19840812,    4,    0
105608,19840813,    2,    0
105608,19840814,    5,    0
105608,19840815,    6,    0
105608,19840816,    6,    0
105608,19840817,    4,    0
105608,19840818,    8,    0
105608,19840819,    3,    0
105608,19840820,    1,    0
105608,19840821,    4,    0
105608,19840822,    3,    0
105608,19840823,    6,    0
105608,19840824,    8,    0
105608,19840825,    2,    0
105608,19840826,    1,    0
105608,19840827,    5,    0
105608,19840828,    7,    0
105608,19840829,    6,    0
105608,19840830,    7,    0
105608,19840831,    7,    0
105608,19840901,    8,    0
105608,19840902,    8,    0
105608,19840903,    7,    0
105608,19840904,    5,    0
105608,19840905,    4,    0
105608,19840906,    6,    0
105608,19840907,    6,    0
105608,19840908,    7,    0
105608,19840909,    6,    0
105608,19840910,    6,    0
105608,19840911,    7,    0
105608,19840912,    8,    0
105608,19840913,    8,    0
105608,19840914,    7,    0
105608,19840915,    6,    0
105608,19840916,    8,    0
105608,19840917,    7,    0
105608,19840918,    4,    0
105608,19840919,    6,    0
105608,19840920,    6,    0
105608,19840921,    4,    0
105608,19840922,    6,    0
105608,19840923,    6,    0
105608,19840924,    5,    0
105608,19840925,    6,    0
105608,19840926,    6,    0
105608,19840927,    8,    0
105608,19840928,    8,    0
105608,19840929,    5,    0
105608,19840930,    5,    0
105608,19841001,    6,    0
105608,19841002,    6,    0
105608,19841003,    7,    0
105608,19841004,    6,    0
105608,19841005,    6,    0
105608,19841006,    4,    0
105608,19841007,    6,    0
105608,19841008,    7,    0
105608,19841009,    5,    0
105608,19841010,    6,    0
105608,19841011,    6,    0
105608,19841012,    8,    0
105608,19841013,    8,    0
105608,19841014,    7,    0
903162,19841015,    7,    0
105608,19841016,    8,    0
105608,19841017,    7,    0
105608,19841018,    7,    0
105608,19841019,    7,    0
105608,19841020,    6,    0
105608,19841021,    6,    0
105608,19841022,    8,    0
105608,19841023,    5,    0
105608,19841024,    8,    0
105608,19841025,    7,    0
105608,19841026,    5,    0
105608,19841027,    5,    0
105608,19841028,    8,    0
105608,19841029,    8,    0
105608,19841030,    7,    0
105608,19841031,    5,    0
105608,19841101,    8,    0
105608,19841102,    8,    0
105608,19841103,    8,    0
105608,19841104,    4,    0
105608,19841105,    4,    0
105608,19841106,    7,    0
105608,19841107,    8,    0
105608,19841108,    8,    0
