 SOUID,    DATE,   QQ, Q_QQ
191076,19950511,  168,    0
191076,19950512,  190,    0
191076,19950513,  198,    0
191076,19950514,  162,    0
191076,19950515,  213,    0
191076,19950516,  175,    0
191076,19950517,  174,    0
191076,19950518,  218,    0
191076,19950519,  216,    0
191076,19950520,  169,    0
191076,19950521,  188,    0
191076,19950522,  141,    0
191076,19950523,  197,    0
191076,19950524,  232,    0
191076,19950525,  146,    0
191076,19950526,  198,    0
191076,19950527,  109,    0
191076,19950528,  148,    0
191076,19950529,  134,    0
191076,19950530,  177,    0
191076,19950531,  155,    0
191076,19950601,  220,    0
191076,19950602,  126,    0
191076,19950603,   97,    0
191076,19950604,   85,    0
191076,19950605,  112,    0
191076,19950606,  149,    0
191076,19950607,  189,    0
191076,19950608,  190,    0
191076,19950609,  272,    0
191076,19950610,  101,    0
191076,19950611,  163,    0
191076,19950612,  305,    0
191076,19950613,  233,    0
191076,19950614,  198,    0
191076,19950615,  315,    0
191076,19950616,  158,    0
191076,19950617,  135,    0
191076,19950618,  173,    0
191076,19950619,   36,    0
191076,19950620,  150,    0
191076,19950621,  245,    0
191076,19950622,  338,    0
191076,19950623,  346,    0
191076,19950624,  209,    0
191076,19950625,  343,    0
191076,19950626,  358,    0
191076,19950627,  356,    0
191076,19950628,  352,    0
191076,19950629,  341,    0
191076,19950630,  197,    0
191076,19950701,  205,    0
191076,19950702,  180,    0
191076,19950703,  203,    0
191076,19950704,  264,    0
191076,19950705,   84,    0
191076,19950706,   88,    0
191076,19950707,  131,    0
191076,19950708,  180,    0
191076,19950709,  326,    0
191076,19950710,  317,    0
191076,19950711,  134,    0
191076,19950712,  213,    0
191076,19950713,  228,    0
191076,19950714,  114,    0
191076,19950715,  148,    0
191076,19950716,  146,    0
191076,19950717,  108,    0
191076,19950718,  171,    0
191076,19950719,  110,    0
191076,19950720,   67,    0
191076,19950721,  215,    0
191076,19950722,  189,    0
191076,19950723,   65,    0
191076,19950724,   94,    0
191076,19950725,  289,    0
209967,19950726,  311,    0
191076,19950727,  240,    0
191076,19950728,   65,    0
191076,19950729,  231,    0
191076,19950730,  203,    0
191076,19950731,  253,    0
191076,19950801,  212,    0
191076,19950802,  285,    0
191076,19950803,  245,    0
191076,19950804,  263,    0
191076,19950805,  299,    0
191076,19950806,  273,    0
191076,19950807,  168,    0
191076,19950808,  236,    0
191076,19950809,  288,    0
191076,19950810,  279,    0
191076,19950811,  258,    0
191076,19950812,   78,    0
191076,19950813,  209,    0
191076,19950814,  132,    0
191076,19950815,  241,    0
191076,19950816,  231,    0
191076,19950817,  196,    0
191076,19950818,  180,    0
191076,19950819,  233,    0
191076,19950820,  230,    0
191076,19950821,  227,    0
191076,19950822,  179,    0
191076,19950823,  189,    0
191076,19950824,   45,    0
191076,19950825,   87,    0
191076,19950826,   94,    0
191076,19950827,  162,    0
191076,19950828,  195,    0
191076,19950829,   56,    0
191076,19950830,  129,    0
191076,19950831,  134,    0
191076,19950901,   64,    0
191076,19950902,   43,    0
191076,19950903,  103,    0
191076,19950904,  175,    0
191076,19950905,   57,    0
191076,19950906,   76,    0
191076,19950907,   49,    0
191076,19950908,   45,    0
191076,19950909,   89,    0
191076,19950910,  178,    0
191076,19950911,   79,    0
191076,19950912,  137,    0
191076,19950913,  174,    0
191076,19950914,  160,    0
191076,19950915,  102,    0
191076,19950916,  120,    0
191076,19950917,  109,    0
191076,19950918,   88,    0
191076,19950919,   91,    0
191076,19950920,  169,    0
191076,19950921,   65,    0
191076,19950922,  124,    0
191076,19950923,   86,    0
191076,19950924,  116,    0
191076,19950925,   26,    0
191076,19950926,  116,    0
191076,19950927,  133,    0
191076,19950928,  137,    0
191076,19950929,   96,    0
191076,19950930,   61,    0
191076,19951001,   52,    0
191076,19951002,   42,    0
191076,19951003,   52,    0
191076,19951004,   59,    0
191076,19951005,   98,    0
191076,19951006,   14,    0
191076,19951007,   85,    0
191076,19951008,   55,    0
191076,19951009,   31,    0
191076,19951010,  101,    0
191076,19951011,   43,    0
191076,19951012,   38,    0
191076,19951013,   19,    0
191076,19951014,   89,    0
191076,19951015,   24,    0
191076,19951016,   47,    0
191076,19951017,   28,    0
191076,19951018,   61,    0
191076,19951019,   44,    0
191076,19951020,  101,    0
191076,19951021,   42,    0
209967,19951022,   23,    0
209967,19951023,   22,    0
191076,19951024,   22,    0
191076,19951025,   55,    0
209967,19951026,   21,    0
191076,19951027,   66,    0
191076,19951028,   56,    0
191076,19951029,   35,    0
209967,19951030,   19,    0
191076,19951031,   14,    0
191076,19951101,   42,    0
191076,19951102,   71,    0
191076,19951103,   43,    0
191076,19951104,   69,    0
191076,19951105,   33,    0
209967,19951106,   16,    0
191076,19951107,   21,    0
191076,19951108,   17,    0
191076,19951109,   60,    0
191076,19951110,   25,    0
209967,19951111,   15,    0
209967,19951112,   14,    0
191076,19951113,   14,    0
191076,19951114,   29,    0
209967,19951115,   13,    0
191076,19951116,   43,    0
191076,19951117,   55,    0
191076,19951118,   45,    0
191076,19951119,   42,    0
191076,19951120,   17,    0
209967,19951121,   12,    0
191076,19951122,   24,    0
191076,19951123,    5,    0
191076,19951124,   10,    0
191076,19951125,   24,    0
191076,19951126,   21,    0
191076,19951127,   15,    0
191076,19951128,   25,    0
191076,19951129,    8,    0
191076,19951130,   22,    0
191076,19951201,    2,    0
191076,19951202,    4,    0
209967,19951203,   17,    0
191076,19951204,   14,    0
191076,19951205,   10,    0
191076,19951206,   12,    0
191076,19951207,   23,    0
191076,19951208,   17,    0
191076,19951209,    5,    0
191076,19951210,   18,    0
191076,19951211,   23,    0
191076,19951212,   30,    0
191076,19951213,   15,    0
191076,19951214,   23,    0
191076,19951215,   17,    0
209967,19951216,   15,    0
191076,19951217,   15,    0
191076,19951218,   21,    0
191076,19951219,    6,    0
191076,19951220,   32,    0
191076,19951221,    6,    0
191076,19951222,    6,    0
191076,19951223,   19,    0
191076,19951224,   33,    0
191076,19951225,   29,    0
191076,19951226,   35,    0
191076,19951227,   34,    0
191076,19951228,   36,    0
191076,19951229,   37,    0
191076,19951230,   18,    0
191076,19951231,    2,    0
191076,19960101,    4,    0
191076,19960102,   22,    0
191076,19960103,   11,    0
191076,19960104,    5,    0
191076,19960105,    8,    0
191076,19960106,    5,    0
191076,19960107,    4,    0
191076,19960108,    6,    0
191076,19960109,   21,    0
191076,19960110,   12,    0
191076,19960111,    7,    0
191076,19960112,    6,    0
191076,19960113,    9,    0
191076,19960114,   18,    0
191076,19960115,    5,    0
191076,19960116,    4,    0
191076,19960117,    4,    0
191076,19960118,    5,    0
191076,19960119,    9,    0
191076,19960120,    3,    0
191076,19960121,    6,    0
191076,19960122,    3,    0
191076,19960123,   17,    0
191076,19960124,    4,    0
191076,19960125,   18,    0
191076,19960126,   31,    0
191076,19960127,   20,    0
191076,19960128,   41,    0
191076,19960129,   16,    0
191076,19960130,   14,    0
191076,19960131,   15,    0
191076,19960201,   36,    0
191076,19960202,   26,    0
191076,19960203,   57,    0
191076,19960204,   60,    0
191076,19960205,   13,    0
191076,19960206,   25,    0
191076,19960207,   27,    0
191076,19960208,   57,    0
191076,19960209,   13,    0
191076,19960210,   18,    0
191076,19960211,   26,    0
191076,19960212,   32,    0
191076,19960213,   65,    0
191076,19960214,   77,    0
209967,19960215,   19,    0
191076,19960216,   51,    0
191076,19960217,   35,    0
191076,19960218,   44,    0
191076,19960219,   82,    0
191076,19960220,   91,    0
191076,19960221,   35,    0
191076,19960222,   72,    0
191076,19960223,   13,    0
191076,19960224,   22,    0
191076,19960225,   75,    0
191076,19960226,   38,    0
191076,19960227,   65,    0
191076,19960228,   91,    0
191076,19960229,  112,    0
191076,19960301,  121,    0
191076,19960302,   70,    0
191076,19960303,   77,    0
191076,19960304,   37,    0
191076,19960305,   83,    0
191076,19960306,   75,    0
