 SOUID,    DATE,   HU, Q_HU
105610,19640305,   85,    0
105610,19640306,   88,    0
105610,19640307,   81,    0
105610,19640308,   71,    0
105610,19640309,   83,    0
105610,19640310,   91,    0
105610,19640311,   81,    0
105610,19640312,   75,    0
105610,19640313,   92,    0
105610,19640314,   93,    0
105610,19640315,   90,    0
105610,19640316,   72,    0
105610,19640317,   70,    0
105610,19640318,   67,    0
105610,19640319,   83,    0
105610,19640320,   97,    0
105610,19640321,   99,    0
105610,19640322,   99,    0
105610,19640323,   90,    0
105610,19640324,   95,    0
105610,19640325,   75,    0
105610,19640326,   66,    0
105610,19640327,   85,    0
105610,19640328,   86,    0
105610,19640329,   84,    0
105610,19640330,   80,    0
105610,19640331,   89,    0
105610,19640401,   82,    0
105610,19640402,   79,    0
105610,19640403,   71,    0
105610,19640404,   71,    0
105610,19640405,   69,    0
105610,19640406,   82,    0
105610,19640407,   74,    0
105610,19640408,   92,    0
105610,19640409,   97,    0
105610,19640410,   78,    0
105610,19640411,   94,    0
105610,19640412,   84,    0
105610,19640413,   79,    0
105610,19640414,   86,    0
105610,19640415,   92,    0
105610,19640416,   90,    0
105610,19640417,   92,    0
105610,19640418,   66,    0
105610,19640419,   94,    0
105610,19640420,   84,    0
105610,19640421,   86,    0
105610,19640422,   89,    0
105610,19640423,   90,    0
105610,19640424,   83,    0
105610,19640425,   96,    0
105610,19640426,   99,    0
105610,19640427,   89,    0
105610,19640428,   86,    0
105610,19640429,   80,    0
105610,19640430,   76,    0
105610,19640501,   80,    0
105610,19640502,   95,    0
105610,19640503,   90,    0
105610,19640504,   88,    0
105610,19640505,   87,    0
105610,19640506,   86,    0
105610,19640507,   98,    0
105610,19640508,   87,    0
105610,19640509,   89,    0
105610,19640510,   88,    0
105610,19640511,   99,    0
105610,19640512,   92,    0
105610,19640513,   72,    0
105610,19640514,   70,    0
105610,19640515,   65,    0
105610,19640516,   75,    0
105610,19640517,   66,    0
105610,19640518,   84,    0
105610,19640519,   84,    0
105610,19640520,   86,    0
105610,19640521,   99,    0
105610,19640522,   80,    0
105610,19640523,   84,    0
105610,19640524,   85,    0
105610,19640525,   70,    0
105610,19640526,   64,    0
105610,19640527,   77,    0
105610,19640528,   73,    0
105610,19640529,   76,    0
105610,19640530,   87,    0
105610,19640531,   93,    0
105610,19640601,   74,    0
105610,19640602,   76,    0
105610,19640603,   80,    0
105610,19640604,   91,    0
105610,19640605,   85,    0
105610,19640606,   86,    0
105610,19640607,   94,    0
105610,19640608,   76,    0
105610,19640609,   97,    0
105610,19640610,   92,    0
105610,19640611,   86,    0
105610,19640612,   85,    0
105610,19640613,   92,    0
105610,19640614,   83,    0
105610,19640615,   82,    0
105610,19640616,   92,    0
105610,19640617,   92,    0
105610,19640618,   76,    0
105610,19640619,   75,    0
105610,19640620,   62,    0
105610,19640621,   69,    0
105610,19640622,   79,    0
105610,19640623,   77,    0
105610,19640624,   79,    0
105610,19640625,   78,    0
105610,19640626,   82,    0
105610,19640627,   82,    0
105610,19640628,   73,    0
105610,19640629,   65,    0
105610,19640630,   80,    0
105610,19640701,   71,    0
105610,19640702,   81,    0
105610,19640703,   72,    0
105610,19640704,   70,    0
105610,19640705,   76,    0
105610,19640706,   78,    0
105610,19640707,   95,    0
105610,19640708,   80,    0
105610,19640709,   82,    0
105610,19640710,   81,    0
105610,19640711,   80,    0
105610,19640712,   78,    0
105610,19640713,   78,    0
105610,19640714,   95,    0
105610,19640715,   83,    0
105610,19640716,   85,    0
105610,19640717,   89,    0
105610,19640718,   95,    0
105610,19640719,   92,    0
105610,19640720,   84,    0
105610,19640721,   91,    0
105610,19640722,   85,    0
105610,19640723,   82,    0
105610,19640724,   93,    0
105610,19640725,   82,    0
105610,19640726,   78,    0
105610,19640727,   86,    0
105610,19640728,   77,    0
105610,19640729,   95,    0
105610,19640730,   98,    0
105610,19640731,   80,    0
105610,19640801,   80,    0
105610,19640802,   83,    0
105610,19640803,   88,    0
105610,19640804,   82,    0
105610,19640805,   97,    0
105610,19640806,   91,    0
105610,19640807,   89,    0
105610,19640808,   90,    0
105610,19640809,   86,    0
105610,19640810,   85,    0
105610,19640811,   83,    0
105610,19640812,   91,    0
