 SOUID,    DATE,   TN, Q_TN
100919,19970303,    4,    0
100919,19970304,  -21,    0
100919,19970305,  -12,    0
100919,19970306,  -38,    0
100919,19970307,  -14,    0
100919,19970308,  -21,    0
100919,19970309,  -25,    0
100919,19970310,    0,    0
100919,19970311,    7,    0
100919,19970312,  -11,    0
100919,19970313,    0,    0
100919,19970314,   55,    0
100919,19970315,   74,    0
100919,19970316,   79,    0
100919,19970317,   56,    0
100919,19970318,   55,    0
100919,19970319,   52,    0
100919,19970320,   19,    0
100919,19970321,  -22,    0
100919,19970322,    5,    0
100919,19970323,   43,    0
100919,19970324,   46,    0
100919,19970325,   45,    0
100919,19970326,   68,    1
100919,19970327,   36,    0
100919,19970328,   22,    0
100919,19970329,   32,    0
100919,19970330,   39,    0
100919,19970331,   51,    0
100919,19970401,   55,    0
100919,19970402,   54,    0
100919,19970403,   21,    0
100919,19970404,  -47,    0
100919,19970405,    3,    0
100919,19970406,   34,    0
100919,19970407,   54,    0
100919,19970408,   45,    0
100919,19970409,  -12,    0
100919,19970410,  -16,    0
100919,19970411,   54,    0
100919,19970412,  -29,    0
100919,19970413,   14,    0
100919,19970414,   67,    0
100919,19970415,   21,    0
100919,19970416,  -11,    0
100919,19970417,   57,    0
100919,19970418,   52,    0
100919,19970419,   23,    0
100919,19970420,  -14,    0
100919,19970421,    0,    0
100919,19970422,    0,    0
100919,19970423,  -36,    0
100919,19970424,   56,    0
100919,19970425,   34,    0
100919,19970426,   32,    0
100919,19970427,   51,    0
100919,19970428,   84,    0
100919,19970429,   78,    0
100919,19970430,   26,    0
100919,19970501,   53,    0
100919,19970502,   34,    0
100919,19970503,   54,    0
100919,19970504,   92,    1
100919,19970505,   29,    0
100919,19970506,  -28,    0
100919,19970507,   -9,    0
100919,19970508,   -7,    0
100919,19970509,  -28,    0
100919,19970510,   14,    0
100919,19970511,   38,    0
100919,19970512,   52,    0
100919,19970513,   62,    0
100919,19970514,   69,    0
100919,19970515,   13,    0
100919,19970516,   48,    0
100919,19970517,   71,    0
100919,19970518,   82,    0
100919,19970519,   46,    0
100919,19970520,   72,    0
100919,19970521,   57,    0
100919,19970522,   19,    0
100919,19970523,  -14,    0
100919,19970524,  -17,    0
100919,19970525,   36,    0
100919,19970526,   78,    0
100919,19970527,   86,    0
100919,19970528,   60,    0
100919,19970529,   39,    0
100919,19970530,   53,    0
100919,19970531,   86,    0
100919,19970601,   67,    0
100919,19970602,   61,    0
100919,19970603,   77,    0
100919,19970604,   49,    0
100919,19970605,   55,    0
100919,19970606,   96,    0
100919,19970607,  134,    0
100919,19970608,  111,    0
100919,19970609,   18,    0
100919,19970610,  106,    0
100919,19970611,   98,    0
100919,19970612,   99,    0
100919,19970613,  114,    1
100919,19970614,   75,    0
100919,19970615,   66,    0
100919,19970616,   30,    0
100919,19970617,   77,    0
100919,19970618,   54,    0
100919,19970619,   95,    0
100919,19970620,   61,    0
100919,19970621,   88,    0
100919,19970622,   86,    0
100919,19970623,   69,    0
100919,19970624,   51,    0
100919,19970625,   70,    0
100919,19970626,   64,    0
100919,19970627,   72,    0
100919,19970628,   78,    0
100919,19970629,   72,    0
100919,19970630,   45,    0
100919,19970701,   75,    0
100919,19970702,   75,    0
100919,19970703,   89,    0
100919,19970704,   39,    0
100919,19970705,   35,    0
100919,19970706,   90,    0
100919,19970707,  125,    0
100919,19970708,  112,    0
100919,19970709,   62,    0
100919,19970710,   84,    0
100919,19970711,   97,    0
100919,19970712,  107,    0
100919,19970713,  115,    0
100919,19970714,   50,    0
100919,19970715,  114,    0
100919,19970716,  132,    0
100919,19970717,   51,    0
100919,19970718,   96,    0
100919,19970719,   78,    0
100919,19970720,   83,    0
100919,19970721,   86,    0
100919,19970722,   83,    0
100919,19970723,   94,    0
100919,19970724,  111,    0
100919,19970725,  102,    0
100919,19970726,   84,    0
100919,19970727,  107,    0
100919,19970728,  129,    0
100919,19970729,  113,    0
100919,19970730,  110,    0
100919,19970731,  112,    0
100919,19970801,  124,    0
100919,19970802,   71,    0
100919,19970803,  107,    0
100919,19970804,   72,    0
100919,19970805,   95,    0
100919,19970806,  126,    0
100919,19970807,  129,    0
100919,19970808,  106,    0
100919,19970809,  151,    0
100919,19970810,  146,    0
100919,19970811,  146,    0
100919,19970812,  154,    0
100919,19970813,  124,    0
100919,19970814,  141,    0
100919,19970815,  149,    0
100919,19970816,  115,    0
100919,19970817,  102,    0
100919,19970818,  100,    0
100919,19970819,  142,    0
100919,19970820,  146,    0
100919,19970821,  162,    0
100919,19970822,   84,    0
100919,19970823,   81,    0
100919,19970824,  109,    0
100919,19970825,  110,    0
100919,19970826,   95,    0
100919,19970827,  106,    0
100919,19970828,   66,    0
100919,19970829,   89,    0
100919,19970830,   74,    0
100919,19970831,   81,    0
100919,19970901,  113,    0
100919,19970902,   92,    0
100919,19970903,  125,    0
100919,19970904,   89,    0
100919,19970905,  104,    0
100919,19970906,   85,    0
100919,19970907,  105,    0
100919,19970908,  118,    0
100919,19970909,   92,    0
100919,19970910,   16,    0
100919,19970911,   69,    0
100919,19970912,   81,    0
100919,19970913,   30,    0
100919,19970914,   41,    0
100919,19970915,  100,    0
100919,19970916,   72,    0
100919,19970917,   72,    0
100919,19970918,   47,    0
100919,19970919,   40,    0
100919,19970920,   39,    0
100919,19970921,   34,    0
100919,19970922,   10,    0
100919,19970923,   20,    0
100919,19970924,   22,    0
100919,19970925,   22,    0
100919,19970926,   75,    0
100919,19970927,   93,    0
100919,19970928,   89,    0
100919,19970929,  104,    0
100919,19970930,   48,    0
100919,19971001,   71,    0
100919,19971002,   82,    0
100919,19971003,   79,    0
100919,19971004,  107,    0
100919,19971005,  100,    0
100919,19971006,  106,    0
100919,19971007,   86,    0
100919,19971008,   67,    0
100919,19971009,   58,    0
100919,19971010,   54,    0
100919,19971011,   31,    0
100919,19971012,   -2,    0
100919,19971013,   27,    0
100919,19971014,  -14,    0
100919,19971015,   15,    0
100919,19971016,   72,    0
100919,19971017,  101,    0
100919,19971018,  129,    0
